bairro,tipo,quantidade,fonte
SIRINHAEM,Estupro,2,Secretaria de Segurança Pública - PE
TAMANDARÉ,Estupro,2,Secretaria de Segurança Pública - PE
TACARATU,Estupro,2,Secretaria de Segurança Pública - PE
TUPANATINGA,Estupro,2,Secretaria de Segurança Pública - PE
VENTUROSA,Estupro,2,Secretaria de Segurança Pública - PE
VICENCIA,Estupro,2,Secretaria de Segurança Pública - PE
AFRANIO,Estupro,1,Secretaria de Segurança Pública - PE
AGUAS BELAS,Estupro,1,Secretaria de Segurança Pública - PE
BUIQUE,Estupro,1,Secretaria de Segurança Pública - PE
CACHORRINHA,Estupro,1,Secretaria de Segurança Pública - PE
CAPOEIRAS,Estupro,1,Secretaria de Segurança Pública - PE
CORTES,Estupro,1,Secretaria de Segurança Pública - PE
CUMARU,Estupro,1,Secretaria de Segurança Pública - PE
JAQUERA,Estupro,1,Secretaria de Segurança Pública - PE
JUCATI,Estupro,1,Secretaria de Segurança Pública - PE
LAGOA GRANDE,Estupro,1,Secretaria de Segurança Pública - PE
LAIEDO,Estupro,1,Secretaria de Segurança Pública - PE
LIMOEIRO,Estupro,1,Secretaria de Segurança Pública - PE
MACAPARANA,Estupro,1,Secretaria de Segurança Pública - PE
MACHADOS,Estupro,1,Secretaria de Segurança Pública - PE
MANARI,Estupro,1,Secretaria de Segurança Pública - PE
MIRANDIBA,Estupro,1,Secretaria de Segurança Pública - PE
PARANATAMA,Estupro,1,Secretaria de Segurança Pública - PE
PASSIRA,Estupro,1,Secretaria de Segurança Pública - PE
PETROLANDIA,Estupro,1,Secretaria de Segurança Pública - PE
PRIMAVERA,Estupro,1,Secretaria de Segurança Pública - PE
SALGADINHO,Estupro,1,Secretaria de Segurança Pública - PE
SANHARO,Estupro,1,Secretaria de Segurança Pública - PE
SANTA CRUZ,Estupro,1,Secretaria de Segurança Pública - PE
SANTA FILOMENA,Estupro,1,Secretaria de Segurança Pública - PE
SAO VICENTE FERRER,Estupro,1,Secretaria de Segurança Pública - PE
SERRITA,Estupro,1,Secretaria de Segurança Pública - PE
SERTANIA,Estupro,1,Secretaria de Segurança Pública - PE
TRINDADE,Estupro,1,Secretaria de Segurança Pública - PE
TRIUIFO,Estupro,1,Secretaria de Segurança Pública - PE
VERDEJANTE,Estupro,1,Secretaria de Segurança Pública - PE
VERTENTES,Estupro,1,Secretaria de Segurança Pública - PE
XEXEU,Estupro,1,Secretaria de Segurança Pública - PE
ALTINHO,Estupro,0,Secretaria de Segurança Pública - PE
AMARAJI,Estupro,0,Secretaria de Segurança Pública - PE
ANGELIM,Estupro,0,Secretaria de Segurança Pública - PE
BARRA DE GUABIRABA,Estupro,0,Secretaria de Segurança Pública - PE
BELEM DE MARIA,Estupro,0,Secretaria de Segurança Pública - PE
BETANIA,Estupro,0,Secretaria de Segurança Pública - PE
BREJAO,Estupro,0,Secretaria de Segurança Pública - PE
BREJINHO,Estupro,0,Secretaria de Segurança Pública - PE
BUENOS AIRES,Estupro,0,Secretaria de Segurança Pública - PE
CALCADO,Estupro,0,Secretaria de Segurança Pública - PE
CALUMBI,Estupro,0,Secretaria de Segurança Pública - PE
CAMOCIM DE SAO FELIX,Estupro,0,Secretaria de Segurança Pública - PE
CAMUTANGA,Estupro,0,Secretaria de Segurança Pública - PE
CARNAIBA,Estupro,0,Secretaria de Segurança Pública - PE
CASIMHAS,Estupro,0,Secretaria de Segurança Pública - PE
CEDRO,Estupro,0,Secretaria de Segurança Pública - PE
CORRENTES,Estupro,0,Secretaria de Segurança Pública - PE
CUSTODIA,Estupro,0,Secretaria de Segurança Pública - PE
DORMENTES,Estupro,0,Secretaria de Segurança Pública - PE
ESCADA,Estupro,0,Secretaria de Segurança Pública - PE
FERNANDO DE NORONHA,Estupro,0,Secretaria de Segurança Pública - PE
FERREIROS,Estupro,0,Secretaria de Segurança Pública - PE
FREI MIGUELINHO,Estupro,0,Secretaria de Segurança Pública - PE
GAMELEIRA,Estupro,0,Secretaria de Segurança Pública - PE
IGUARACI,Estupro,0,Secretaria de Segurança Pública - PE
IBIAZEIRA,Estupro,0,Secretaria de Segurança Pública - PE
ITACURUBA,Estupro,0,Secretaria de Segurança Pública - PE
JATAUBA,Estupro,0,Secretaria de Segurança Pública - PE
JUPI,Estupro,0,Secretaria de Segurança Pública - PE
JUREMA,Estupro,0,Secretaria de Segurança Pública - PE
LAGOA DE ITAENGA,Estupro,0,Secretaria de Segurança Pública - PE
LAGOA DOS GATOS,Estupro,0,Secretaria de Segurança Pública - PE
MARAIAL,Estupro,0,Secretaria de Segurança Pública - PE
NAO INFORMADO,Estupro,0,Secretaria de Segurança Pública - PE
PALMEIRINA,Estupro,0,Secretaria de Segurança Pública - PE
PARNAMIRIM,Estupro,0,Secretaria de Segurança Pública - PE
QUIRAPA,Estupro,0,Secretaria de Segurança Pública - PE
QUIXABA,Estupro,0,Secretaria de Segurança Pública - PE
RIO FORMOSO,Estupro,0,Secretaria de Segurança Pública - PE
SALOA,Estupro,0,Secretaria de Segurança Pública - PE
SANTA TEREZINHA,Estupro,0,Secretaria de Segurança Pública - PE
SOLIDAO,Estupro,0,Secretaria de Segurança Pública - PE
TACAIMBO,Estupro,0,Secretaria de Segurança Pública - PE
TACARATU,Estupro,0,Secretaria de Segurança Pública - PE
TEREZINHA,Estupro,0,Secretaria de Segurança Pública - PE
TERRA NOVA,Estupro,0,Secretaria de Segurança Pública - PE
TRACUNHAEM,Estupro,0,Secretaria de Segurança Pública - PE
TUPARETAMA,Estupro,0,Secretaria de Segurança Pública - PE
VERTENTE DO LERIO,Estupro,0,Secretaria de Segurança Pública - PE
